component,name,carrier,zone,p_nom_opt,p_nom_min,unit,existing
Link,Z14-Z12,AC,Z14->Z12,10000,0,MW,True
Link,Z15-Z12,AC,Z15->Z12,6000,0,MW,True
Link,Z15-Z14,AC,Z15->Z14,10000,0,MW,True
Link,Z16-Z13,AC,Z16->Z13,6000,0,MW,True
Link,Z16-Z14,AC,Z16->Z14,10000,0,MW,True
Link,Z16-Z15,AC,Z16->Z15,6000,0,MW,True
Link,Z17-Z13,AC,Z17->Z13,4000,0,MW,True
Link,Z17-Z16,AC,Z17->Z16,4000,0,MW,True
Link,electrolysis Teesside,electrolysis,Z7->Teesside H2,0,0,MW,False
Link,h2_turbine Teesside,h2_turbine,Teesside H2->Z7,0,0,MW,False
Store,h2_store Teesside,h2_store,Teesside,0,0,MWh,False
